ticker,name,market_cap,avg_volume_3m,price,exchange,quote_type,type_disp,currency,source,discovered_at
NVDA,NVIDIA Corporation,4161988460544.0,174903088.0,171.24,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
AAPL,Apple Inc.,3716958388224.0,46586027.0,252.89,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
GOOGL,Alphabet Inc.,3398289588224.0,32649994.0,280.92,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
GOOG,Alphabet Inc.,3396111695872.0,20855296.0,280.74,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
MSFT,Microsoft Corporation,2720027377664.0,34174708.0,365.97,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
AMZN,"Amazon.com, Inc.",2227925417984.0,48889476.0,207.54,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
TSM,Taiwan Semiconductor Manufacturing Company Limited,1691370913792.0,13448255.0,326.11,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
AVGO,Broadcom Inc.,1467021262848.0,26234215.0,309.415,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
TSLA,"Tesla, Inc.",1396317356032.0,60756706.0,372.11,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
META,"Meta Platforms, Inc.",1385032712192.0,14442864.0,547.54,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
BRK-B,Berkshire Hathaway Inc.,1025096024064.0,4784257.0,475.27,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
WMT,Walmart Inc.,974068187136.0,31058015.0,122.18,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
LLY,Eli Lilly and Company,802831794176.0,3071144.0,897.0,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
JPM,JPMorgan Chase & Co.,786616483840.0,10893884.0,291.66,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
XOM,Exxon Mobil Corporation,689307648000.0,21091210.0,165.43,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
V,Visa Inc.,589073940480.0,7744538.0,305.53,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
JNJ,Johnson & Johnson,576544243712.0,8638918.0,239.24,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
ASML,ASML Holding N.V.,522039721984.0,1746291.0,1329.5,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
MA,Mastercard Incorporated,446888181760.0,3793413.0,500.75,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
COST,Costco Wholesale Corporation,434836668416.0,2252254.0,979.65,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
CVX,Chevron Corporation,415445680128.0,12332432.0,207.79,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
ORCL,Oracle Corporation,410728136704.0,26835877.0,142.81,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
MU,"Micron Technology, Inc.",400864313344.0,36363191.0,355.46,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
NFLX,"Netflix, Inc.",395853135872.0,48441452.0,93.32,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
ABBV,AbbVie Inc.,373421113344.0,7058505.0,211.12,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
PLTR,Palantir Technologies Inc.,352915652608.0,48254947.0,147.56,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
BAC,Bank of America Corporation,346203160576.0,41017757.0,48.24,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
PG,The Procter & Gamble Company,332797575168.0,11460657.0,142.42,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
AMD,"Advanced Micro Devices, Inc.",332228820992.0,36274357.0,203.77,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
CAT,Caterpillar Inc.,329078571008.0,2803688.0,703.19,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
HD,"The Home Depot, Inc.",327120027648.0,4118537.0,328.43,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
CSCO,"Cisco Systems, Inc.",324621926400.0,23332288.0,82.16,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
KO,The Coca-Cola Company,321477214208.0,17924930.0,74.69,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
GE,GE Aerospace,300875087872.0,5421259.0,285.24,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
BABA,Alibaba Group Holding Limited,299405443072.0,12117930.0,125.41,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
MRK,"Merck & Co., Inc.",294041583616.0,12002774.0,118.93,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
NVS,Novartis AG,289380630528.0,2298169.0,149.7,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
AZN,AstraZeneca PLC,284321972224.0,2974429.0,183.4,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
